,Rue,Adresse,Nombre,Lat,Long,Bureau,Voix LFI du bureau,Nombre d'électeurs du bureau,Voix estimées
0,ROUTE DE GENAS,  295B ROUTE DE GENAS ,1,45.7489661,4.9165421,75,200,1277,0.2822517613889099
1,ROUTE DE GENAS,"  295D, ROUTE DE GENAS ",2,45.7489661,4.9165421,75,200,1277,0.5645035227778198
2,ROUTE DE GENAS,"  295E, ROUTE DE GENAS ",1,45.7489661,4.9165421,75,200,1277,0.2822517613889099
3,ROUTE DE GENAS,"  295F, ROUTE DE GENAS ",4,45.7489661,4.9165421,75,200,1277,1.1290070455556396
4,ROUTE DE GENAS,"  295G, ROUTE DE GENAS ",1,45.7489661,4.9165421,75,200,1277,0.2822517613889099
5,ROUTE DE GENAS,"  295H, ROUTE DE GENAS ",2,45.7489661,4.9165421,75,200,1277,0.5645035227778198
6,ROUTE DE GENAS,279  ROUTE DE GENAS ,29,45.7500195,4.9122691,75,200,1277,8.185301080278386
7,ROUTE DE GENAS,161  ROUTE DE GENAS ,38,45.7542335,4.8915185,63,126,1151,6.593535162441225
8,ROUTE DE GENAS,  137 ROUTE DE GENAS ,21,45.754323,4.8890328,63,126,1151,3.6437957476648877
9,ROUTE DE GENAS,99  ROUTE DE GENAS ,9,45.7543533,4.8839397,62,148,1178,2.1390044876484198
10,ROUTE DE GENAS,101 ROUTE DE GENAS ,10,45.7543606,4.8841261,62,148,1178,2.376671652942689
11,ROUTE DE GENAS,  73 ROUTE DE GENAS ,12,45.7547116,4.88139,61,109,1127,2.5601069890057624
12,ROUTE DE GENAS,31 ROUTE DE GENAS ,27,45.7550782,4.8777958,60,119,1088,4.6495087314221
13,RUE RUE LOUIS TEILLON,6 RUE RUE LOUIS TEILLON ,1,45.750614,4.9152902,75,200,1277,0.2822517613889099
14,RUE RUE LOUIS TEILLON,8 RUE RUE LOUIS TEILLON ,1,45.750639,4.915412,75,200,1277,0.2822517613889099
15,RUE RUE LOUIS TEILLON,24 RUE RUE LOUIS TEILLON ,1,45.7506798,4.916507,75,200,1277,0.2822517613889099
16,RUE RUE LOUIS TEILLON,12 RUE RUE LOUIS TEILLON ,1,45.7506863,4.9156478,75,200,1277,0.2822517613889099
17,RUE RUE LOUIS TEILLON,22 RUE RUE LOUIS TEILLON ,1,45.7506916,4.9163466,75,200,1277,0.2822517613889099
18,RUE RUE LOUIS TEILLON,14 RUE RUE LOUIS TEILLON ,1,45.7507113,4.9157709,75,200,1277,0.2822517613889099
19,RUE RUE LOUIS TEILLON,16 RUE RUE LOUIS TEILLON ,1,45.7507223,4.9159192,75,200,1277,0.2822517613889099
20,RUE RUE HENRI LEGAY,113 RUE RUE HENRI LEGAY ,1,45.7508568,4.9159548,76,176,1037,0.28627152219740176
21,RUE RUE HENRI LEGAY,111 RUE RUE HENRI LEGAY ,1,45.7509206,4.9159634,76,176,1037,0.28627152219740176
22,RUE RUE HENRI LEGAY,107 RUE RUE HENRI LEGAY ,16,45.7511892,4.9162172,76,176,1037,4.580344355158428
23,RUE RUE HENRI LEGAY,116 RUE RUE HENRI LEGAY ,1,45.751261,4.9159134,75,200,1277,0.2822517613889099
24,RUE RUE HENRI LEGAY,105 RUE RUE HENRI LEGAY ,8,45.751328,4.9164266,76,176,1037,2.290172177579214
25,RUE RUE HENRI LEGAY,103 RUE RUE HENRI LEGAY ,8,45.7515428,4.916452,76,176,1037,2.290172177579214
26,RUE RUE HENRI LEGAY,101 RUE RUE HENRI LEGAY ,16,45.7516852,4.9162884,76,176,1037,4.580344355158428
27,RUE RUE HENRI LEGAY,106 RUE RUE HENRI LEGAY ,1,45.7517588,4.9159847,75,200,1277,0.2822517613889099
28,RUE RUE HENRI LEGAY,99 RUE RUE HENRI LEGAY ,1,45.7518999,4.916108,76,176,1037,0.28627152219740176
29,RUE RUE DU CAPORAL MORANGE,6 RUE RUE DU CAPORAL MORANGE ,1,45.7520433,4.9165775,76,176,1037,0.28627152219740176
30,RUE RUE DU CAPORAL MORANGE,4 RUE RUE DU CAPORAL MORANGE ,1,45.7520447,4.9164939,76,176,1037,0.28627152219740176
31,RUE HENRI LEGAY,  83 RUE HENRI LEGAY ,1,45.753318,4.916623,76,176,1037,0.28627152219740176
32,RUE HENRI LEGAY,  64 RUE HENRI LEGAY ,10,45.7547232,4.9157182,76,176,1037,2.862715221974018
33,RUE HENRI LEGAY,  62 RUE HENRI LEGAY ,10,45.7548805,4.9156876,76,176,1037,2.862715221974018
34,RUE HENRI LEGAY,  66 RUE HENRI LEGAY ,34,45.7549823,4.9162123,76,176,1037,9.73323175471166
35,RUE HENRI LEGAY,  60 RUE HENRI LEGAY ,10,45.7550405,4.9156546,76,176,1037,2.862715221974018
36,RUE HENRI LEGAY,  58 RUE HENRI LEGAY ,10,45.7551905,4.9156263,76,176,1037,2.862715221974018
37,RUE HENRI LEGAY,  56 RUE HENRI LEGAY ,10,45.7553845,4.9156601,76,176,1037,2.862715221974018
38,RUE HENRI LEGAY,  54 RUE HENRI LEGAY ,10,45.7554074,4.9158976,76,176,1037,2.862715221974018
39,RUE HENRI LEGAY,  52 RUE HENRI LEGAY ,10,45.7554304,4.9161352,76,176,1037,2.862715221974018
40,RUE SERGE RAVANEL,  34 RUE SERGE RAVANEL ,10,45.7525925,4.9194015,76,176,1037,2.862715221974018
41,RUE SERGE RAVANEL,  32 RUE SERGE RAVANEL ,10,45.7527741,4.9193641,76,176,1037,2.862715221974018
42,RUE SERGE RAVANEL,  26 RUE SERGE RAVANEL ,10,45.7527764,4.9183925,76,176,1037,2.862715221974018
43,RUE SERGE RAVANEL,  28 RUE SERGE RAVANEL ,10,45.7527824,4.9186696,76,176,1037,2.862715221974018
44,RUE SERGE RAVANEL,  30 RUE SERGE RAVANEL ,10,45.7528029,4.9188916,76,176,1037,2.862715221974018
45,RUE SERGE RAVANEL,  22 RUE SERGE RAVANEL ,10,45.7529106,4.9177489,76,176,1037,2.862715221974018
46,RUE SERGE RAVANEL,  24 RUE SERGE RAVANEL ,10,45.7529366,4.91802,76,176,1037,2.862715221974018
47,RUE SERGE RAVANEL,  20 RUE SERGE RAVANEL ,10,45.7529818,4.9184384,76,176,1037,2.862715221974018
48,RUE SERGE RAVANEL,  18 RUE SERGE RAVANEL ,10,45.753139,4.9184104,76,176,1037,2.862715221974018
49,RUE SERGE RAVANEL,  10 RUE SERGE RAVANEL ,10,45.7532767,4.9174618,76,176,1037,2.862715221974018
